tube,temp,temp_var,mean_temp,resource,species,exposed
717,25,0,25,1,C,1
718,25,0,25,1,C,1
719,25,0,25,1,C,1
720,25,0,25,1,C,1
721,25,0,25,1,C,1
726,25,0,25,1,C,1
727,25,0,25,1,C,1
728,25,0,25,1,C,1
729,25,0,25,1,C,1
730,25,0,25,1,C,1
731,25,0,25,1,C,1
732,25,0,25,1,C,1
733,25,0,25,1,C,1
734,25,0,25,1,C,1
735,25,0,25,1,C,1
736,25,0,25,1,C,1
737,25,0,25,1,C,1
738,25,0,25,1,C,1
739,25,0,25,1,C,1
740,25,0,25,1,C,1
741,25,0,25,1,C,1
742,25,0,25,1,C,1
743,25,0,25,1,C,1
744,25,0,25,1,C,1
745,25,0,25,1,C,1
746,25,0,25,1,C,1
747,25,0,25,1,C,1
748,25,0,25,1,C,1
749,25,0,25,1,C,1
750,25,0,25,1,C,1
